epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.63,3.69625,4.53403,3.92635,0.02902,0.121,0.01633,0.00346,3.06111,4.67353,3.25735,0.0700843,0.00332397,0.00332397
2,363.436,2.93338,3.54593,3.26674,0.05078,0.22548,0.04218,0.01235,2.71977,3.78907,2.88551,0.0400184,0.0065914,0.0065914
3,535.223,2.43934,2.75472,2.76886,0.18818,0.53643,0.2218,0.08464,2.17366,3.0488,1.94197,0.00988646,0.00979282,0.00979282
4,706.534,2.04655,2.33637,2.37097,0.54978,0.67358,0.55959,0.25524,1.90117,1.89019,1.74646,0.009703,0.009703,0.009703
5,878.735,1.80303,2.06989,2.12049,0.43246,0.59743,0.50601,0.23561,1.73734,2.15365,1.96746,0.009604,0.009604,0.009604
6,1060.2,1.66489,1.93315,1.99808,0.56366,0.62021,0.6071,0.30097,1.69776,1.6977,1.7902,0.009505,0.009505,0.009505
7,1242.26,1.57909,1.81347,1.89334,0.38948,0.8324,0.64129,0.32414,1.51686,1.84174,1.79419,0.009406,0.009406,0.009406
8,1415.03,1.52836,1.77605,1.84261,0.51424,0.70299,0.60472,0.2913,1.63116,1.68059,1.78988,0.009307,0.009307,0.009307
9,1587.14,1.49431,1.72444,1.80743,0.65955,0.76192,0.74652,0.39547,1.51061,1.31568,1.75145,0.009208,0.009208,0.009208
10,1758.49,1.46357,1.64413,1.77305,0.62091,0.79379,0.73181,0.42729,1.34753,1.31368,1.65748,0.009109,0.009109,0.009109
11,1928.64,1.44028,1.61612,1.74813,0.70316,0.75089,0.75003,0.41519,1.40301,1.23483,1.668,0.00901,0.00901,0.00901
12,2099.31,1.40685,1.57754,1.72213,0.74202,0.73368,0.77298,0.45773,1.35428,1.22506,1.60311,0.008911,0.008911,0.008911
13,2270.84,1.39736,1.54771,1.70863,0.66393,0.76026,0.7593,0.41728,1.41249,1.23752,1.6797,0.008812,0.008812,0.008812
14,2441.71,1.37581,1.49876,1.69646,0.70888,0.77994,0.80509,0.47068,1.34097,1.16167,1.59743,0.008713,0.008713,0.008713
15,2611.67,1.34519,1.48475,1.67067,0.66712,0.72228,0.76335,0.44316,1.3375,1.22297,1.63026,0.008614,0.008614,0.008614
16,2781.38,1.33868,1.45274,1.6529,0.72737,0.73061,0.78852,0.46093,1.3501,1.17175,1.57978,0.008515,0.008515,0.008515
17,2951.7,1.32773,1.43066,1.64348,0.8175,0.75982,0.85893,0.53708,1.25122,1.04571,1.59974,0.008416,0.008416,0.008416
18,3121.4,1.32391,1.42212,1.64636,0.70627,0.83146,0.86423,0.5309,1.29572,1.09626,1.57376,0.008317,0.008317,0.008317
19,3291.39,1.31275,1.41885,1.63292,0.78207,0.76109,0.86226,0.51231,1.33202,1.06708,1.63136,0.008218,0.008218,0.008218
20,3461.33,1.28541,1.35624,1.61859,0.77336,0.82706,0.87081,0.52602,1.31951,1.03282,1.58672,0.008119,0.008119,0.008119
21,3636.12,1.27919,1.3518,1.60568,0.74908,0.78605,0.87331,0.53067,1.28302,1.0584,1.59525,0.00802,0.00802,0.00802
22,3814.46,1.26701,1.33854,1.60069,0.84932,0.79313,0.88314,0.53539,1.2852,0.98251,1.58093,0.007921,0.007921,0.007921
23,3997.52,1.26688,1.31072,1.58493,0.86313,0.83544,0.90516,0.55906,1.26861,0.91784,1.57725,0.007822,0.007822,0.007822
24,4175.51,1.24831,1.29775,1.5747,0.85078,0.86724,0.90061,0.54966,1.26881,0.89767,1.55142,0.007723,0.007723,0.007723
25,4357.64,1.24214,1.2784,1.57494,0.78375,0.8382,0.88485,0.54735,1.26457,0.97095,1.54593,0.007624,0.007624,0.007624
26,4537.26,1.2502,1.27012,1.57543,0.83986,0.84657,0.88758,0.5602,1.2454,0.92757,1.54311,0.007525,0.007525,0.007525
27,4721.92,1.25452,1.2573,1.57848,0.80259,0.86047,0.88645,0.54076,1.22553,0.89311,1.52085,0.007426,0.007426,0.007426
28,4901.76,1.22893,1.23865,1.57415,0.87193,0.86827,0.92275,0.5762,1.22885,0.87943,1.55091,0.007327,0.007327,0.007327
29,5083.89,1.23767,1.2155,1.55675,0.84496,0.85781,0.88884,0.54392,1.22005,0.90739,1.50559,0.007228,0.007228,0.007228
30,5265.23,1.21697,1.21935,1.55623,0.83439,0.8621,0.89449,0.54605,1.25589,0.91849,1.56915,0.007129,0.007129,0.007129
31,5449.59,1.20894,1.2113,1.54746,0.82273,0.86025,0.91189,0.57541,1.19155,0.88985,1.5238,0.00703,0.00703,0.00703
32,5633.56,1.22672,1.20394,1.55853,0.86003,0.86318,0.93103,0.58363,1.22176,0.87083,1.5301,0.006931,0.006931,0.006931
33,5818.4,1.20498,1.19511,1.54657,0.83857,0.84315,0.89537,0.55818,1.23787,0.89203,1.56203,0.006832,0.006832,0.006832
34,6000.21,1.20938,1.17837,1.54833,0.85654,0.87691,0.91104,0.57513,1.21214,0.81635,1.52024,0.006733,0.006733,0.006733
