epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,388.077,1.64812,2.09274,1.48634,0.43888,0.17681,0.14301,0.06104,1.87702,4.41832,2.15015,0.0701685,0.00331461,0.00331461
2,773.07,1.66409,1.84531,1.46664,0.39014,0.50178,0.36676,0.16729,1.99025,2.32582,1.83727,0.0400369,0.00651631,0.00651631
3,1158.75,1.61586,1.763,1.43327,0.36107,0.54526,0.35664,0.16384,1.98272,2.47136,1.97739,0.00977328,0.00958601,0.00958601
4,1545.62,1.54566,1.68894,1.3874,0.42806,0.71196,0.56715,0.25797,1.62611,1.80068,1.57462,0.009406,0.009406,0.009406
5,1928.32,1.50406,1.62564,1.36507,0.47531,0.3485,0.34176,0.16938,1.96683,2.37954,1.97243,0.009208,0.009208,0.009208
6,2308.23,1.47136,1.57039,1.36387,0.42465,0.52677,0.55347,0.26563,1.53178,1.88621,1.51056,0.00901,0.00901,0.00901
7,2688.82,1.44322,1.49353,1.32232,0.53623,0.79259,0.75332,0.41202,1.39696,1.41698,1.38198,0.008812,0.008812,0.008812
8,3068.1,1.43309,1.50105,1.32591,0.57877,0.73756,0.73868,0.40815,1.45012,1.34676,1.45366,0.008614,0.008614,0.008614
9,3449.05,1.41585,1.49384,1.31512,0.53351,0.80943,0.73715,0.40663,1.4216,1.38817,1.41945,0.008416,0.008416,0.008416
10,3831.46,1.39685,1.44082,1.3029,0.66287,0.76032,0.79333,0.46134,1.4193,1.36651,1.44807,0.008218,0.008218,0.008218
11,4212.71,1.39713,1.42093,1.3013,0.58051,0.74637,0.65842,0.34886,1.58224,1.3873,1.53104,0.00802,0.00802,0.00802
12,4594.66,1.3531,1.39064,1.29539,0.69099,0.73974,0.78169,0.448,1.36571,1.34901,1.35547,0.007822,0.007822,0.007822
13,4975.9,1.33536,1.34636,1.28042,0.59087,0.75656,0.81572,0.49069,1.37092,1.3843,1.34144,0.007624,0.007624,0.007624
14,5356.18,1.33675,1.33324,1.2782,0.75654,0.73729,0.80359,0.46233,1.4087,1.29777,1.37328,0.007426,0.007426,0.007426
15,5737.86,1.33427,1.34649,1.28201,0.76898,0.79517,0.81172,0.47258,1.4337,1.0767,1.38269,0.007228,0.007228,0.007228
16,6119.3,1.32007,1.31017,1.27059,0.85655,0.79432,0.87298,0.51353,1.38442,0.98739,1.35865,0.00703,0.00703,0.00703
17,6501.39,1.31405,1.3389,1.27332,0.7637,0.79329,0.84221,0.47275,1.38154,1.07448,1.38999,0.006832,0.006832,0.006832
18,6883.31,1.31794,1.3289,1.27617,0.7895,0.79412,0.85292,0.47457,1.416,1.02738,1.40906,0.006634,0.006634,0.006634
19,7264.96,1.31287,1.29007,1.26541,0.56349,0.78223,0.79337,0.42008,1.48425,1.28585,1.48571,0.006436,0.006436,0.006436
20,7646.8,1.2799,1.2666,1.25798,0.82606,0.75549,0.87192,0.49468,1.42019,1.00986,1.38827,0.006238,0.006238,0.006238
21,8030.5,1.28963,1.27641,1.25663,0.73309,0.78079,0.85031,0.51091,1.3101,1.06014,1.37873,0.00604,0.00604,0.00604
22,8411.53,1.2752,1.28327,1.25541,0.70979,0.8126,0.85964,0.50308,1.3502,1.04958,1.37307,0.005842,0.005842,0.005842
23,8792.46,1.28689,1.2512,1.25354,0.84986,0.81675,0.88006,0.52523,1.32453,0.9736,1.34536,0.005644,0.005644,0.005644
24,9174.73,1.25134,1.21779,1.24536,0.79406,0.78759,0.89888,0.52641,1.33989,1.00941,1.37391,0.005446,0.005446,0.005446
25,9556.98,1.25729,1.2212,1.23543,0.82853,0.81299,0.891,0.51965,1.35435,0.94202,1.31085,0.005248,0.005248,0.005248
26,9941.28,1.242,1.21106,1.22659,0.83379,0.85101,0.90592,0.53903,1.31194,0.9164,1.34399,0.00505,0.00505,0.00505
27,10322.3,1.22374,1.18616,1.22634,0.78814,0.87095,0.88618,0.55946,1.23685,0.87736,1.29005,0.004852,0.004852,0.004852
28,10705,1.23915,1.17281,1.23194,0.85876,0.8361,0.89807,0.53313,1.29255,0.93881,1.35939,0.004654,0.004654,0.004654
29,11088.3,1.22209,1.19479,1.22445,0.79001,0.79815,0.8821,0.52609,1.2764,0.97172,1.2826,0.004456,0.004456,0.004456
30,11470.6,1.2205,1.18138,1.22316,0.86509,0.83993,0.89601,0.53109,1.31906,0.90213,1.3626,0.004258,0.004258,0.004258
