epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,457.926,3.66934,4.46411,3.83251,0.04229,0.08401,0.04228,0.00876,2.94797,4.24397,3.05528,0.0700843,0.00332397,0.00332397
2,896.837,2.89669,3.4073,3.23291,0.13315,0.34801,0.12251,0.03822,2.45869,3.1969,2.38556,0.0400184,0.0065914,0.0065914
3,1342.32,2.36438,2.70302,2.64584,0.32237,0.63616,0.35779,0.15148,2.20445,2.98043,1.99037,0.00988646,0.00979282,0.00979282
4,1783.34,1.97885,2.26777,2.26845,0.4819,0.64122,0.45491,0.20554,2.00188,2.22237,1.84061,0.009703,0.009703,0.009703
5,2216.11,1.8055,2.02601,2.03706,0.52628,0.70853,0.58021,0.24247,1.93002,1.69399,1.75411,0.009604,0.009604,0.009604
6,2643.53,1.69953,1.88847,1.91883,0.44098,0.67197,0.51324,0.23504,2.02339,1.6331,1.76462,0.009505,0.009505,0.009505
7,3069.08,1.6461,1.78959,1.85042,0.50429,0.6585,0.54916,0.25495,1.97748,1.57017,1.69796,0.009406,0.009406,0.009406
8,3490.47,1.57619,1.69314,1.77086,0.60738,0.67443,0.67045,0.30447,1.89223,1.66284,1.68617,0.009307,0.009307,0.009307
9,3910.5,1.563,1.66916,1.75368,0.56501,0.7485,0.64722,0.31407,1.81962,1.41249,1.62866,0.009208,0.009208,0.009208
10,4330.5,1.53153,1.61706,1.70955,0.7492,0.76129,0.81087,0.38821,1.77981,1.26061,1.57327,0.009109,0.009109,0.009109
11,4751.64,1.49677,1.55473,1.67886,0.63702,0.75227,0.7498,0.35505,1.77223,1.32502,1.52698,0.00901,0.00901,0.00901
12,5172.96,1.49126,1.56564,1.70035,0.70173,0.70522,0.72327,0.3311,1.85639,1.34308,1.65415,0.008911,0.008911,0.008911
13,5593.19,1.47482,1.51309,1.68536,0.62407,0.7717,0.75946,0.38827,1.70557,1.23445,1.5874,0.008812,0.008812,0.008812
14,6014.67,1.43119,1.51284,1.66759,0.66607,0.76524,0.70766,0.3368,1.6824,1.34637,1.58134,0.008713,0.008713,0.008713
15,6435.48,1.40117,1.45232,1.64725,0.61315,0.81756,0.79177,0.43095,1.48779,1.22995,1.73108,0.008614,0.008614,0.008614
16,6858.01,1.35884,1.43523,1.64305,0.7949,0.74565,0.82996,0.46908,1.47755,1.18898,1.77923,0.008515,0.008515,0.008515
17,7276.21,1.33799,1.41315,1.62888,0.81598,0.77319,0.85236,0.47722,1.43705,1.10392,1.68577,0.008416,0.008416,0.008416
18,7693.64,1.34055,1.40222,1.63785,0.75472,0.74748,0.84244,0.52164,1.31661,1.12037,1.71864,0.008317,0.008317,0.008317
19,8113.95,1.30272,1.3744,1.62525,0.78419,0.78813,0.87715,0.5286,1.31745,1.07171,1.65897,0.008218,0.008218,0.008218
20,8538.65,1.30406,1.3446,1.6102,0.84587,0.81749,0.88678,0.49483,1.40666,1.00517,1.6792,0.008119,0.008119,0.008119
21,8965.92,1.29705,1.32953,1.60464,0.73462,0.81553,0.86945,0.53181,1.28802,1.07544,1.58841,0.00802,0.00802,0.00802
22,9396.97,1.29955,1.32922,1.6035,0.7889,0.78592,0.86518,0.53358,1.26824,1.10372,1.5797,0.007921,0.007921,0.007921
23,9830.15,1.27422,1.3166,1.59632,0.83153,0.78815,0.89473,0.5524,1.25368,0.97332,1.56552,0.007822,0.007822,0.007822
24,10265.8,1.25342,1.28638,1.57187,0.81824,0.80951,0.89523,0.55661,1.26206,0.93787,1.5779,0.007723,0.007723,0.007723
25,10703.6,1.26236,1.26643,1.57271,0.78154,0.79464,0.87169,0.52207,1.28,1.01219,1.58432,0.007624,0.007624,0.007624
26,11142.4,1.24474,1.25918,1.57294,0.83966,0.82239,0.89814,0.57179,1.21786,0.90088,1.53837,0.007525,0.007525,0.007525
27,11583.8,1.23917,1.22245,1.55135,0.79285,0.8718,0.9125,0.55647,1.24247,0.90112,1.53799,0.007426,0.007426,0.007426
28,12075.5,1.22805,1.24346,1.55485,0.75083,0.86286,0.88484,0.55265,1.22946,0.95426,1.53229,0.007327,0.007327,0.007327
29,12745.5,1.22434,1.20219,1.54401,0.85887,0.86755,0.91062,0.56911,1.2216,0.877,1.51042,0.007228,0.007228,0.007228
30,13191.9,1.23415,1.21211,1.55972,0.8474,0.85459,0.90047,0.56408,1.25003,0.89903,1.52758,0.007129,0.007129,0.007129
31,13637.5,1.20201,1.19225,1.52833,0.78501,0.88298,0.91325,0.54866,1.23638,0.93386,1.48957,0.00703,0.00703,0.00703
32,14085.4,1.21386,1.19685,1.53502,0.88155,0.84687,0.91315,0.56819,1.2503,0.87851,1.55876,0.006931,0.006931,0.006931
33,14535.7,1.21169,1.18074,1.525,0.8852,0.88952,0.9326,0.58215,1.21848,0.79759,1.51742,0.006832,0.006832,0.006832
34,14986.6,1.20588,1.16265,1.51965,0.86504,0.84955,0.91825,0.57246,1.20557,0.86184,1.55524,0.006733,0.006733,0.006733
35,15437,1.19006,1.17624,1.52097,0.86841,0.88243,0.92992,0.58357,1.20651,0.81894,1.53903,0.006634,0.006634,0.006634
36,15889.9,1.18547,1.16603,1.52236,0.84179,0.8757,0.91673,0.5717,1.24065,0.86032,1.52918,0.006535,0.006535,0.006535
37,16342.4,1.17521,1.15157,1.50219,0.89988,0.88905,0.92508,0.57549,1.2239,0.81097,1.5367,0.006436,0.006436,0.006436
