epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,514.553,3.30681,4.07103,3.61764,0.1723,0.32673,0.14457,0.04164,2.77023,3.25348,2.66417,0.0700843,0.00332397,0.00332397
2,1009.43,2.63517,2.93255,2.93842,0.09816,0.15859,0.11496,0.03385,2.29616,3.24633,2.15344,0.0400184,0.0065914,0.0065914
3,1504.36,2.14028,2.4374,2.42488,0.44859,0.52883,0.44829,0.20514,2.00396,2.07568,1.73047,0.00988646,0.00979282,0.00979282
4,1998.91,1.79932,2.08767,2.07635,0.52086,0.70524,0.52811,0.22883,1.89275,1.70015,1.67774,0.009703,0.009703,0.009703
5,2495.37,1.70265,1.92252,1.93235,0.53881,0.71315,0.61321,0.26918,1.92462,1.63137,1.66737,0.009604,0.009604,0.009604
6,2991.55,1.63039,1.80959,1.86363,0.41829,0.64389,0.45095,0.23553,1.80264,2.13743,1.64453,0.009505,0.009505,0.009505
7,3488.22,1.56209,1.75765,1.83577,0.52347,0.80263,0.62613,0.31459,1.62816,1.48563,1.88291,0.009406,0.009406,0.009406
8,3987.25,1.48539,1.67739,1.79403,0.64551,0.79435,0.7027,0.3568,1.52492,1.47907,1.77588,0.009307,0.009307,0.009307
9,4486.69,1.46253,1.6528,1.77126,0.58201,0.77756,0.75091,0.44362,1.45696,1.29406,1.6982,0.009208,0.009208,0.009208
10,4986.71,1.42269,1.5931,1.73035,0.68032,0.77298,0.79668,0.43829,1.44858,1.1955,1.71638,0.009109,0.009109,0.009109
11,5487.58,1.39878,1.55303,1.71868,0.66412,0.80244,0.7845,0.46435,1.35703,1.22556,1.62798,0.00901,0.00901,0.00901
12,5991.08,1.40063,1.55226,1.73488,0.77511,0.78581,0.82877,0.4676,1.4126,1.15942,1.62872,0.008911,0.008911,0.008911
13,6500.06,1.37561,1.49177,1.70394,0.71663,0.7527,0.80727,0.44423,1.39333,1.16252,1.65164,0.008812,0.008812,0.008812
14,7010.14,1.3634,1.5021,1.69437,0.75625,0.74407,0.80286,0.45784,1.3726,1.12828,1.60282,0.008713,0.008713,0.008713
15,7519.99,1.3325,1.43822,1.66687,0.73452,0.83216,0.83484,0.486,1.32454,1.10917,1.58223,0.008614,0.008614,0.008614
16,8031.19,1.31361,1.41479,1.65591,0.77159,0.79878,0.84562,0.50136,1.29472,1.11441,1.57298,0.008515,0.008515,0.008515
17,8537.56,1.31035,1.40633,1.64744,0.67424,0.83146,0.82329,0.48712,1.29782,1.15384,1.56649,0.008416,0.008416,0.008416
18,9043.59,1.2949,1.3981,1.64729,0.62079,0.81414,0.83103,0.50863,1.21886,1.12565,1.57854,0.008317,0.008317,0.008317
19,9549.27,1.28542,1.37745,1.63912,0.76285,0.81467,0.85814,0.52464,1.26709,1.03684,1.60344,0.008218,0.008218,0.008218
20,10054,1.27696,1.35456,1.63231,0.86531,0.81463,0.87388,0.53587,1.29087,0.95696,1.58858,0.008119,0.008119,0.008119
21,10561.5,1.28031,1.33484,1.63052,0.71419,0.84373,0.87595,0.52138,1.30494,1.07576,1.56946,0.00802,0.00802,0.00802
22,11068.5,1.27058,1.3247,1.61724,0.7366,0.84196,0.88026,0.53566,1.27076,1.01637,1.53958,0.007921,0.007921,0.007921
23,11572.4,1.24645,1.3138,1.61146,0.74469,0.8383,0.86975,0.53762,1.23877,1.05208,1.56528,0.007822,0.007822,0.007822
24,12075.4,1.23185,1.29031,1.5958,0.72835,0.86221,0.87907,0.54748,1.23534,0.98053,1.51881,0.007723,0.007723,0.007723
