epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.783,3.19441,3.88058,3.43576,0.22808,0.29561,0.16764,0.05059,2.68855,2.98661,2.61031,0.0700211,0.00333099,0.00333099
2,390.143,2.67239,3.06239,2.91704,0.28078,0.33935,0.3067,0.11552,2.20673,2.85913,2.09537,0.0399551,0.00659835,0.00659835
3,584.303,2.25301,2.70186,2.50544,0.35852,0.4247,0.31092,0.13931,2.12862,2.39914,1.96082,0.00982314,0.0097997,0.0097997
4,816.09,2.00231,2.45624,2.2568,0.48952,0.63124,0.47158,0.23278,1.91723,1.82191,1.8046,0.009703,0.009703,0.009703
5,990.032,1.87129,2.26598,2.1001,0.49282,0.58292,0.44173,0.18846,1.87604,1.87959,1.9343,0.009604,0.009604,0.009604
6,1214.21,1.77305,2.13195,2.01514,0.26128,0.66963,0.33543,0.16352,1.75797,2.80524,1.97998,0.009505,0.009505,0.009505
7,1494.38,1.66533,2.10069,1.96178,0.41878,0.64975,0.54367,0.27951,1.65833,1.87485,1.94874,0.009406,0.009406,0.009406
8,1791.54,1.65771,2.03777,1.94004,0.42707,0.66937,0.5344,0.26233,1.60753,1.98976,1.92914,0.009307,0.009307,0.009307
9,2071.7,1.61256,2.00852,1.92012,0.45737,0.74096,0.53473,0.28271,1.64347,1.7029,1.92157,0.009208,0.009208,0.009208
10,2329.48,1.58265,1.92975,1.88075,0.61559,0.71487,0.61341,0.33011,1.54652,1.54844,1.83735,0.009109,0.009109,0.009109
11,2624.96,1.54772,1.91903,1.87197,0.63302,0.67841,0.65203,0.31665,1.66436,1.50942,1.85142,0.00901,0.00901,0.00901
12,2922.42,1.53098,1.88579,1.83767,0.65955,0.69138,0.67952,0.37515,1.52191,1.49208,1.80018,0.008911,0.008911,0.008911
13,3205.91,1.51236,1.86011,1.83203,0.6632,0.65394,0.6865,0.38509,1.51805,1.4789,1.81762,0.008812,0.008812,0.008812
14,3466.04,1.4855,1.83909,1.81791,0.62018,0.75804,0.66968,0.37169,1.46931,1.41673,1.70306,0.008713,0.008713,0.008713
15,3744.98,1.47119,1.8009,1.80211,0.61581,0.76841,0.73613,0.40839,1.4361,1.40181,1.73071,0.008614,0.008614,0.008614
16,4067.79,1.46294,1.79234,1.79387,0.70782,0.62636,0.71971,0.39479,1.44416,1.35574,1.72711,0.008515,0.008515,0.008515
17,4303.97,1.45166,1.75713,1.78003,0.62172,0.76598,0.70652,0.39621,1.49498,1.40667,1.74365,0.008416,0.008416,0.008416
18,4598.25,1.43636,1.74859,1.76903,0.63439,0.74702,0.71338,0.39963,1.43784,1.37862,1.71321,0.008317,0.008317,0.008317
19,4925.18,1.4158,1.71381,1.75322,0.68188,0.76656,0.75393,0.43988,1.39894,1.29748,1.70812,0.008218,0.008218,0.008218
20,5264.39,1.43307,1.69262,1.76512,0.59186,0.7801,0.73655,0.42581,1.41424,1.36204,1.73248,0.008119,0.008119,0.008119
21,5606.23,1.41515,1.67344,1.75601,0.73143,0.77124,0.79872,0.4656,1.42758,1.28911,1.70845,0.00802,0.00802,0.00802
22,5894.12,1.42374,1.68883,1.75611,0.71833,0.7093,0.75701,0.43364,1.40289,1.30977,1.71328,0.007921,0.007921,0.007921
23,6036.22,1.41263,1.68129,1.7527,0.65769,0.7913,0.76973,0.46141,1.35483,1.29707,1.66911,0.007822,0.007822,0.007822
24,6185.8,1.38885,1.62856,1.73243,0.80076,0.71299,0.80325,0.46785,1.41047,1.23536,1.65878,0.007723,0.007723,0.007723
25,6335.36,1.39652,1.64161,1.73399,0.64338,0.79147,0.75282,0.43168,1.42457,1.31634,1.70873,0.007624,0.007624,0.007624
26,6485.94,1.38174,1.64678,1.71817,0.7291,0.78999,0.79898,0.47609,1.32807,1.24818,1.64848,0.007525,0.007525,0.007525
27,6640.36,1.37684,1.6287,1.71448,0.79366,0.6711,0.79062,0.45428,1.42447,1.23752,1.68138,0.007426,0.007426,0.007426
28,6794.34,1.35882,1.60568,1.70766,0.74849,0.76427,0.81509,0.48052,1.39638,1.21238,1.6027,0.007327,0.007327,0.007327
29,6947.62,1.35123,1.60447,1.7032,0.78083,0.78009,0.8158,0.48556,1.37002,1.18109,1.65106,0.007228,0.007228,0.007228
30,7103.1,1.35203,1.58411,1.69877,0.73139,0.73842,0.79902,0.45563,1.44075,1.21219,1.65638,0.007129,0.007129,0.007129
31,7409.81,1.35573,1.59567,1.70072,0.73792,0.76636,0.80909,0.46468,1.37561,1.23292,1.63023,0.00703,0.00703,0.00703
32,7710.57,1.33618,1.57639,1.68686,0.76342,0.77129,0.81547,0.48686,1.36516,1.22302,1.6652,0.006931,0.006931,0.006931
33,8010.15,1.3519,1.53991,1.69018,0.77819,0.744,0.83071,0.48722,1.3736,1.19525,1.63207,0.006832,0.006832,0.006832
34,8313.32,1.33892,1.54555,1.69184,0.75605,0.78618,0.83803,0.4942,1.35837,1.18236,1.60954,0.006733,0.006733,0.006733
35,8487.96,1.34894,1.55737,1.69111,0.79712,0.76129,0.8127,0.48463,1.39331,1.18877,1.64883,0.006634,0.006634,0.006634
36,8635.72,1.31185,1.52283,1.66838,0.8481,0.76434,0.84729,0.50095,1.33555,1.16148,1.62606,0.006535,0.006535,0.006535
37,8785.82,1.31463,1.54488,1.67374,0.8105,0.78096,0.82991,0.49397,1.36032,1.09182,1.62792,0.006436,0.006436,0.006436
