epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,511.692,3.7881,4.53533,3.81667,0.00162,0.40902,0.00415,0.00078,3.79747,4.79341,3.3877,0.0701685,0.00331461,0.00331461
2,1073.51,2.97463,3.52688,3.27542,0.18454,0.50431,0.21001,0.06636,2.51765,3.06505,2.45885,0.0401027,0.00658213,0.00658213
3,1635.46,2.43499,2.66378,2.7253,0.3092,0.52006,0.36922,0.17845,2.16667,2.64198,1.88775,0.00997091,0.00978364,0.00978364
4,2151.76,1.98818,2.22996,2.29276,0.49596,0.65549,0.52048,0.23689,1.88993,1.87969,1.69399,0.009703,0.009703,0.009703
5,2680.79,1.79095,2.008,2.04551,0.54143,0.62959,0.57768,0.26543,1.89229,1.87466,1.64154,0.009604,0.009604,0.009604
6,3182.24,1.6803,1.87561,1.9125,0.55683,0.56348,0.5678,0.26637,1.81797,2.04151,1.57096,0.009505,0.009505,0.009505
7,3716.08,1.58868,1.78079,1.8581,0.34362,0.69753,0.5137,0.24495,1.62724,1.86085,2.02755,0.009406,0.009406,0.009406
8,4220.67,1.52003,1.7256,1.8133,0.54763,0.65146,0.63121,0.34008,1.49874,2.02428,1.86544,0.009307,0.009307,0.009307
9,4755.75,1.49418,1.6705,1.79793,0.45953,0.73047,0.58182,0.32672,1.53504,1.57971,1.81232,0.009208,0.009208,0.009208
10,5323.3,1.45054,1.60423,1.74242,0.64588,0.75057,0.70301,0.37331,1.49138,1.36924,1.77225,0.009109,0.009109,0.009109
11,5869.32,1.39885,1.57033,1.72413,0.67935,0.69646,0.74976,0.40353,1.40077,1.26941,1.62574,0.00901,0.00901,0.00901
12,6434.29,1.39781,1.53715,1.70021,0.6179,0.75755,0.71882,0.43577,1.32269,1.28743,1.60973,0.008911,0.008911,0.008911
13,6974.92,1.37422,1.50743,1.69461,0.67233,0.70288,0.76198,0.44348,1.33418,1.21199,1.63554,0.008812,0.008812,0.008812
14,7536.59,1.35378,1.45423,1.66115,0.70341,0.75972,0.79098,0.46561,1.35085,1.24835,1.61629,0.008713,0.008713,0.008713
15,8077.18,1.33569,1.43477,1.66319,0.70695,0.78822,0.82505,0.45443,1.37624,1.11494,1.62657,0.008614,0.008614,0.008614
16,8640.8,1.32271,1.40122,1.64828,0.77743,0.78998,0.82594,0.49201,1.28253,1.04551,1.60848,0.008515,0.008515,0.008515
17,9176.08,1.31143,1.38671,1.63179,0.80536,0.74657,0.82942,0.47288,1.32073,1.10085,1.66213,0.008416,0.008416,0.008416
18,9735.32,1.31255,1.39618,1.63609,0.74642,0.80401,0.84259,0.52146,1.22455,1.04719,1.55113,0.008317,0.008317,0.008317
19,10246.9,1.2759,1.33854,1.61229,0.75632,0.72992,0.84767,0.52246,1.24815,1.12791,1.59598,0.008218,0.008218,0.008218
20,10805.9,1.26172,1.31552,1.58806,0.86202,0.77856,0.88569,0.52657,1.24117,0.99594,1.54877,0.008119,0.008119,0.008119
21,11342.7,1.27475,1.32377,1.60182,0.72561,0.80679,0.85856,0.52564,1.29214,1.05175,1.56431,0.00802,0.00802,0.00802
22,11901.9,1.27195,1.30029,1.59341,0.81569,0.82386,0.89226,0.54373,1.25774,0.99377,1.55153,0.007921,0.007921,0.007921
23,12436.2,1.23795,1.26356,1.58409,0.86159,0.81823,0.91343,0.56557,1.26576,0.93984,1.55903,0.007822,0.007822,0.007822
24,12994.6,1.23685,1.23278,1.56122,0.82346,0.85282,0.90705,0.56153,1.22914,0.91418,1.53034,0.007723,0.007723,0.007723
25,13529.2,1.23629,1.24288,1.56293,0.79303,0.81596,0.88981,0.54605,1.27189,0.94481,1.5855,0.007624,0.007624,0.007624
26,14089.1,1.23417,1.21019,1.56186,0.83273,0.86512,0.90582,0.57296,1.22032,0.86663,1.51602,0.007525,0.007525,0.007525
27,14601.5,1.22116,1.21474,1.54539,0.8773,0.84744,0.90944,0.54756,1.22806,0.90568,1.51562,0.007426,0.007426,0.007426
28,15160.3,1.2163,1.22268,1.55143,0.76609,0.80816,0.8879,0.55481,1.23693,0.96174,1.54928,0.007327,0.007327,0.007327
29,15676.1,1.21546,1.20188,1.54447,0.85201,0.87649,0.91064,0.55535,1.29769,0.83607,1.5813,0.007228,0.007228,0.007228
