epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.798,3.3614,4.36402,3.68719,0.0429,0.11111,0.05602,0.01421,2.72649,6.82758,2.86626,0.0700211,0.00333099,0.00333099
2,301.761,2.85547,3.45869,3.15817,0.20792,0.53316,0.2222,0.07545,2.39714,4.1579,2.32763,0.0399551,0.00659835,0.00659835
3,448.824,2.44854,2.91292,2.70888,0.31577,0.45731,0.33017,0.13832,2.10518,2.90511,1.96921,0.00982314,0.0097997,0.0097997
4,593.508,2.14295,2.60766,2.40451,0.46881,0.62291,0.48832,0.21736,1.91955,2.01881,1.7919,0.009703,0.009703,0.009703
5,738.533,1.97742,2.41742,2.18503,0.45866,0.67998,0.52028,0.23002,2.00062,1.91959,1.83336,0.009604,0.009604,0.009604
6,886.218,1.86561,2.2745,2.06687,0.56087,0.6508,0.54616,0.24059,1.89936,1.78447,1.81703,0.009505,0.009505,0.009505
7,1031.79,1.78183,2.19364,1.9946,0.44623,0.6829,0.46047,0.20606,1.8117,1.92572,1.72882,0.009406,0.009406,0.009406
8,1177.97,1.73541,2.11806,1.94438,0.27197,0.71182,0.32642,0.14876,1.77366,2.09849,1.83154,0.009307,0.009307,0.009307
9,1321.38,1.70237,2.08322,1.92743,0.32559,0.67799,0.42653,0.21616,1.75366,2.04449,1.92388,0.009208,0.009208,0.009208
10,1466.23,1.64637,1.99234,1.88038,0.52699,0.71137,0.55595,0.24929,1.7068,1.76344,1.88016,0.009109,0.009109,0.009109
11,1616.95,1.6064,1.97317,1.85987,0.41835,0.72973,0.5298,0.27257,1.59909,1.95915,1.82892,0.00901,0.00901,0.00901
12,1761.73,1.55991,1.91776,1.82361,0.52594,0.76239,0.58335,0.31705,1.52707,1.60833,1.85475,0.008911,0.008911,0.008911
13,1908.02,1.56175,1.90133,1.834,0.52766,0.66179,0.56845,0.29955,1.54918,1.67857,1.84568,0.008812,0.008812,0.008812
14,2056.55,1.52306,1.89804,1.7986,0.5466,0.70549,0.60412,0.31681,1.53034,1.56738,1.76406,0.008713,0.008713,0.008713
15,2200.61,1.50954,1.82419,1.78564,0.54373,0.71702,0.61177,0.30753,1.55668,1.63505,1.80558,0.008614,0.008614,0.008614
16,2346.69,1.4951,1.82453,1.77014,0.60302,0.69908,0.6602,0.34119,1.54718,1.44305,1.76623,0.008515,0.008515,0.008515
