epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,680.917,3.69451,4.47191,3.75657,0.05808,0.03821,0.01908,0.00526,3.07705,4.55019,3.34922,0.0700843,0.00332397,0.00332397
2,1187.68,2.9335,3.50149,3.27552,0.25048,0.53943,0.26788,0.08591,2.50276,3.28864,2.42336,0.0400184,0.0065914,0.0065914
3,1686.35,2.45212,2.74082,2.73599,0.0962,0.10099,0.06389,0.02586,2.55114,3.26371,2.22461,0.00988646,0.00979282,0.00979282
4,2172.51,2.06632,2.32877,2.37527,0.47403,0.61875,0.46602,0.20044,2.01437,2.05915,1.81058,0.009703,0.009703,0.009703
5,2543.44,1.8334,2.06003,2.10521,0.4633,0.69693,0.56669,0.25277,1.89714,1.89327,1.68288,0.009604,0.009604,0.009604
6,2911.91,1.72452,1.90606,1.97136,0.4782,0.66617,0.53028,0.26121,1.87005,1.7851,1.6473,0.009505,0.009505,0.009505
7,3551.24,1.66715,1.8151,1.88717,0.47884,0.69241,0.52025,0.25603,2.01681,1.73501,1.83671,0.009406,0.009406,0.009406
8,3937.01,1.5881,1.71369,1.81308,0.62283,0.71955,0.66107,0.30931,1.86997,1.52133,1.65639,0.009307,0.009307,0.009307
9,4197.77,1.5784,1.68391,1.78709,0.65042,0.75865,0.698,0.32556,1.80754,1.33531,1.60631,0.009208,0.009208,0.009208
10,4493.33,1.5362,1.63066,1.73442,0.65229,0.76933,0.75424,0.351,1.81689,1.26655,1.58825,0.009109,0.009109,0.009109
11,4907.13,1.51005,1.5828,1.71661,0.67743,0.7603,0.7466,0.35016,1.76159,1.2686,1.53923,0.00901,0.00901,0.00901
12,5204.75,1.51376,1.57696,1.72895,0.7048,0.77508,0.76846,0.34614,1.86815,1.2589,1.60841,0.008911,0.008911,0.008911
13,5618.36,1.48341,1.52271,1.70073,0.66521,0.73241,0.75003,0.35549,1.77096,1.24525,1.58542,0.008812,0.008812,0.008812
14,5890.1,1.46457,1.51194,1.69085,0.69581,0.75733,0.73062,0.31641,1.8029,1.25354,1.56915,0.008713,0.008713,0.008713
15,6160.95,1.45528,1.45489,1.6592,0.6808,0.79475,0.82214,0.39576,1.7193,1.18116,1.53064,0.008614,0.008614,0.008614
16,6431.96,1.43072,1.42321,1.6452,0.79063,0.77855,0.82575,0.39302,1.77994,1.09202,1.57532,0.008515,0.008515,0.008515
17,6703.12,1.41425,1.41857,1.62751,0.69116,0.78798,0.79997,0.39403,1.74673,1.15329,1.54167,0.008416,0.008416,0.008416
18,6974.26,1.42746,1.4097,1.64071,0.62535,0.80211,0.79702,0.38296,1.69561,1.19856,1.51037,0.008317,0.008317,0.008317
19,7245.28,1.37815,1.37981,1.63242,0.67306,0.72902,0.79411,0.39818,1.66634,1.14863,1.57572,0.008218,0.008218,0.008218
20,7517.25,1.36151,1.37706,1.63498,0.71781,0.6458,0.7687,0.40647,1.55838,1.21127,1.72689,0.008119,0.008119,0.008119
21,7789.4,1.34483,1.33737,1.63044,0.70568,0.71488,0.80417,0.43844,1.47467,1.19484,1.75747,0.00802,0.00802,0.00802
22,8062.26,1.32505,1.33529,1.62223,0.76288,0.78879,0.84523,0.486,1.43205,1.15393,1.73056,0.007921,0.007921,0.007921
23,8333.29,1.28354,1.33385,1.60371,0.81448,0.81753,0.8877,0.52007,1.35509,1.04181,1.64842,0.007822,0.007822,0.007822
24,8607.18,1.28339,1.29933,1.59481,0.79397,0.70451,0.8342,0.49971,1.31692,1.10231,1.60891,0.007723,0.007723,0.007723
25,8879.02,1.28653,1.27226,1.59531,0.73927,0.82113,0.85851,0.50804,1.34201,1.02144,1.61687,0.007624,0.007624,0.007624
26,9154.01,1.26164,1.28197,1.58689,0.82929,0.79422,0.88698,0.54685,1.23891,0.99795,1.54545,0.007525,0.007525,0.007525
27,9428,1.24916,1.23664,1.56874,0.84112,0.82578,0.8985,0.54171,1.28916,0.93972,1.59771,0.007426,0.007426,0.007426
28,9700.68,1.24183,1.25509,1.57273,0.82068,0.84044,0.88958,0.54013,1.30596,0.97519,1.59098,0.007327,0.007327,0.007327
29,9973.75,1.2257,1.2061,1.55225,0.80308,0.86072,0.89758,0.54844,1.2634,0.9092,1.54867,0.007228,0.007228,0.007228
30,10246.2,1.23318,1.22706,1.5742,0.84766,0.82517,0.90113,0.56419,1.23342,0.94179,1.52277,0.007129,0.007129,0.007129
31,10519.9,1.20933,1.20137,1.54249,0.84848,0.84516,0.91993,0.55599,1.28597,0.94362,1.5499,0.00703,0.00703,0.00703
32,10792.2,1.22566,1.19987,1.55332,0.87055,0.8533,0.9328,0.58497,1.24774,0.87577,1.55393,0.006931,0.006931,0.006931
33,11065.2,1.22075,1.18212,1.53785,0.85692,0.89139,0.91457,0.56484,1.24301,0.85171,1.5638,0.006832,0.006832,0.006832
34,11337.8,1.21053,1.17817,1.53039,0.85852,0.8429,0.91,0.57625,1.19705,0.88234,1.54255,0.006733,0.006733,0.006733
35,11610.6,1.20505,1.17753,1.53269,0.83974,0.84651,0.91357,0.56867,1.25024,0.8709,1.55902,0.006634,0.006634,0.006634
36,11884.8,1.19435,1.1553,1.53506,0.87169,0.85657,0.92787,0.57508,1.25313,0.86346,1.57062,0.006535,0.006535,0.006535
37,12158.2,1.18609,1.1516,1.51421,0.87271,0.87587,0.92889,0.58089,1.24163,0.80071,1.53505,0.006436,0.006436,0.006436
38,12431.4,1.19031,1.13586,1.52232,0.84135,0.86845,0.92421,0.57558,1.23388,0.84763,1.53907,0.006337,0.006337,0.006337
39,12705.4,1.17728,1.12224,1.51785,0.88739,0.85943,0.91773,0.58812,1.22291,0.80867,1.56266,0.006238,0.006238,0.006238
40,12979.4,1.16245,1.09758,1.49736,0.84969,0.89895,0.92151,0.58015,1.2173,0.81558,1.56285,0.006139,0.006139,0.006139
41,13253.4,1.16832,1.0962,1.4938,0.87204,0.89261,0.93882,0.59235,1.21854,0.80424,1.56235,0.00604,0.00604,0.00604
42,13526.7,1.17227,1.09789,1.49979,0.89079,0.88668,0.94643,0.59475,1.2471,0.76045,1.53598,0.005941,0.005941,0.005941
43,13799.6,1.15186,1.10033,1.48798,0.85235,0.87296,0.92072,0.58602,1.22026,0.83399,1.58775,0.005842,0.005842,0.005842
44,14072.2,1.15488,1.07595,1.49597,0.88408,0.904,0.92974,0.59551,1.18423,0.79492,1.51586,0.005743,0.005743,0.005743
45,14346,1.1532,1.07272,1.48145,0.82683,0.90073,0.91655,0.58062,1.19386,0.78333,1.49517,0.005644,0.005644,0.005644
46,14619.5,1.16309,1.07704,1.49165,0.86607,0.86888,0.93075,0.58654,1.17935,0.83284,1.49303,0.005545,0.005545,0.005545
47,14893,1.13161,1.04456,1.4681,0.89841,0.8905,0.93114,0.60941,1.17844,0.75091,1.5139,0.005446,0.005446,0.005446
48,15167,1.15413,1.05698,1.48691,0.88235,0.8924,0.94033,0.61486,1.14742,0.75025,1.49581,0.005347,0.005347,0.005347
49,15439.9,1.12376,1.05762,1.47285,0.896,0.87504,0.91482,0.57916,1.21887,0.76916,1.54511,0.005248,0.005248,0.005248
50,15713.9,1.13129,1.0602,1.46996,0.85616,0.89366,0.91873,0.60142,1.17706,0.75608,1.52359,0.005149,0.005149,0.005149
51,15988.3,1.13651,1.04302,1.47395,0.87638,0.88497,0.92628,0.59234,1.19766,0.75001,1.50215,0.00505,0.00505,0.00505
52,16262,1.1213,1.03931,1.46282,0.89182,0.89541,0.95292,0.60395,1.18595,0.73429,1.51075,0.004951,0.004951,0.004951
53,16536.2,1.11272,1.0211,1.45709,0.86903,0.9099,0.9357,0.6,1.18453,0.73644,1.53446,0.004852,0.004852,0.004852
54,16810.8,1.11381,1.01824,1.46551,0.89654,0.89428,0.93707,0.6144,1.15399,0.72179,1.52466,0.004753,0.004753,0.004753
55,17084,1.11884,1.01438,1.45511,0.91731,0.86981,0.93993,0.61594,1.20008,0.70267,1.55203,0.004654,0.004654,0.004654
56,17357.9,1.11494,1.01082,1.45527,0.89845,0.89465,0.94605,0.59442,1.2267,0.75369,1.59295,0.004555,0.004555,0.004555
57,17631.4,1.10675,0.9941,1.44335,0.91011,0.88812,0.9344,0.60255,1.18884,0.71912,1.52473,0.004456,0.004456,0.004456
58,17906,1.10015,0.98459,1.4499,0.93213,0.89574,0.94869,0.60605,1.20886,0.71262,1.53246,0.004357,0.004357,0.004357
59,18180.5,1.09999,0.99571,1.44785,0.86672,0.88321,0.92795,0.58853,1.21579,0.76872,1.52068,0.004258,0.004258,0.004258
60,18454.1,1.09793,1.01584,1.45342,0.9026,0.92517,0.9492,0.59546,1.22156,0.71586,1.53868,0.004159,0.004159,0.004159
61,18728.1,1.08224,0.97552,1.43368,0.92252,0.89765,0.94605,0.60106,1.17823,0.7347,1.49229,0.00406,0.00406,0.00406
62,19002.7,1.08591,0.97826,1.43768,0.89136,0.90283,0.94067,0.59873,1.1835,0.71632,1.49311,0.003961,0.003961,0.003961
63,19278.2,1.08733,0.97456,1.44407,0.8449,0.93104,0.93023,0.59439,1.22826,0.75153,1.53337,0.003862,0.003862,0.003862
64,19553.5,1.08051,0.96064,1.43317,0.92002,0.92132,0.94423,0.60252,1.19997,0.68877,1.52992,0.003763,0.003763,0.003763
65,19827.7,1.08086,0.9792,1.43755,0.89359,0.89821,0.93475,0.60334,1.19957,0.73869,1.49843,0.003664,0.003664,0.003664
66,20101.4,1.06705,0.9476,1.41803,0.91867,0.92341,0.94831,0.60784,1.1655,0.72586,1.48369,0.003565,0.003565,0.003565
67,20376.4,1.07285,0.94805,1.42682,0.90161,0.8926,0.92468,0.60467,1.17357,0.72149,1.52982,0.003466,0.003466,0.003466
68,20652.6,1.07042,0.93147,1.41897,0.89747,0.88638,0.92543,0.59645,1.20411,0.71694,1.52543,0.003367,0.003367,0.003367
69,20927.6,1.0568,0.92201,1.40772,0.90607,0.93176,0.95205,0.61446,1.16023,0.67361,1.49032,0.003268,0.003268,0.003268
70,21205.6,1.07024,0.93305,1.4142,0.90417,0.91007,0.93743,0.60897,1.19606,0.68158,1.49245,0.003169,0.003169,0.003169
