epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,373.221,2.49996,2.94218,2.70755,0.23282,0.59283,0.26696,0.09976,2.05018,5.69223,2.22266,0.0700641,0.00332621,0.00332621
2,726.844,1.99503,2.34547,2.21603,0.32686,0.43068,0.3522,0.14249,1.85519,2.22227,2.08015,0.0399982,0.00659361,0.00659361
3,1076.58,1.84068,2.18615,2.06311,0.42199,0.61651,0.45016,0.19617,1.91162,1.9491,2.13357,0.00986624,0.00979502,0.00979502
4,1428.48,1.76908,2.06632,1.98216,0.39832,0.70855,0.49996,0.21457,1.86448,1.85479,2.00112,0.009703,0.009703,0.009703
5,1779.07,1.71321,1.97713,1.91511,0.56497,0.65352,0.59416,0.27757,1.68539,2.17814,1.80778,0.009604,0.009604,0.009604
6,2128.03,1.675,1.92526,1.88382,0.5084,0.71631,0.62012,0.3184,1.62523,1.67346,1.83879,0.009505,0.009505,0.009505
7,2476.43,1.63052,1.87171,1.84549,0.47298,0.54896,0.56294,0.3141,1.46606,1.7004,1.72653,0.009406,0.009406,0.009406
8,2826.19,1.61184,1.80168,1.82997,0.53345,0.58974,0.5483,0.27519,1.54441,1.73515,1.85619,0.009307,0.009307,0.009307
9,3175.14,1.59263,1.76374,1.81312,0.65302,0.63062,0.67064,0.36237,1.55332,1.46845,1.81933,0.009208,0.009208,0.009208
10,3526.63,1.56627,1.73541,1.79184,0.60086,0.69861,0.70677,0.35235,1.58122,1.52499,1.78603,0.009109,0.009109,0.009109
11,3876.55,1.55904,1.70679,1.77864,0.63091,0.72641,0.74472,0.39825,1.53159,1.45957,1.80291,0.00901,0.00901,0.00901
12,4225.45,1.52845,1.65053,1.75076,0.5616,0.72667,0.67385,0.35513,1.57462,1.41355,1.88926,0.008911,0.008911,0.008911
13,4778.77,1.52345,1.6279,1.75501,0.62245,0.76965,0.75664,0.44086,1.51711,1.46694,1.78904,0.008812,0.008812,0.008812
14,5221.28,1.49716,1.58025,1.71245,0.78205,0.72984,0.79605,0.44437,1.42002,1.48582,1.67406,0.008713,0.008713,0.008713
15,6018.7,1.49456,1.5578,1.72436,0.71872,0.73882,0.77056,0.43346,1.41355,1.2212,1.70953,0.008614,0.008614,0.008614
16,6828.5,1.50154,1.54057,1.72313,0.75586,0.76663,0.80239,0.43909,1.57803,1.22426,1.82918,0.008515,0.008515,0.008515
17,7269.65,1.46538,1.5079,1.69486,0.6305,0.72627,0.73652,0.38644,1.57454,1.42522,1.75365,0.008416,0.008416,0.008416
18,7646.98,1.46012,1.49017,1.69642,0.71721,0.80902,0.81346,0.4525,1.47302,1.16181,1.73023,0.008317,0.008317,0.008317
19,8216.7,1.47275,1.49225,1.69738,0.74108,0.84173,0.83401,0.45816,1.50433,1.07723,1.7127,0.008218,0.008218,0.008218
20,9018.58,1.45818,1.4806,1.67912,0.72348,0.78025,0.8386,0.47765,1.39152,1.18525,1.65321,0.008119,0.008119,0.008119
21,9438.88,1.44946,1.47222,1.68155,0.80385,0.79086,0.84114,0.49407,1.46873,1.17288,1.67728,0.00802,0.00802,0.00802
22,9796.35,1.43169,1.43227,1.67588,0.78166,0.77774,0.83286,0.47799,1.4621,1.10515,1.71702,0.007921,0.007921,0.007921
23,10157.8,1.4262,1.42023,1.6688,0.79324,0.78698,0.83585,0.46275,1.46398,1.07369,1.68923,0.007822,0.007822,0.007822
24,10514.5,1.42228,1.39127,1.64823,0.79507,0.77993,0.84383,0.4802,1.41095,1.06247,1.67101,0.007723,0.007723,0.007723
25,10871.4,1.4234,1.39448,1.64623,0.73183,0.80355,0.81087,0.44639,1.39194,1.17381,1.64508,0.007624,0.007624,0.007624
26,11228,1.40422,1.36823,1.63943,0.70144,0.79669,0.78567,0.47273,1.33987,1.16124,1.60551,0.007525,0.007525,0.007525
27,11583.8,1.40379,1.34888,1.64356,0.75947,0.81482,0.84953,0.49288,1.3698,1.07363,1.68567,0.007426,0.007426,0.007426
28,11938.9,1.401,1.34977,1.64816,0.80337,0.80483,0.86333,0.49803,1.34198,1.01804,1.63134,0.007327,0.007327,0.007327
29,12294.7,1.39663,1.33732,1.62896,0.82203,0.82907,0.87444,0.51186,1.38597,0.97448,1.63805,0.007228,0.007228,0.007228
30,12650.7,1.39122,1.33642,1.62325,0.83657,0.78858,0.8771,0.49497,1.37823,1.03562,1.59864,0.007129,0.007129,0.007129
31,13004.2,1.38189,1.31178,1.62857,0.80428,0.81867,0.86298,0.48261,1.44942,1.03059,1.65181,0.00703,0.00703,0.00703
32,13363.4,1.38674,1.29899,1.6295,0.85186,0.84097,0.88744,0.52547,1.37349,0.92022,1.65228,0.006931,0.006931,0.006931
33,13719,1.38279,1.29141,1.61823,0.79227,0.82271,0.86085,0.50701,1.35041,1.00906,1.6112,0.006832,0.006832,0.006832
34,14075.3,1.36095,1.258,1.59994,0.7591,0.85476,0.89796,0.5153,1.3607,1.00765,1.59569,0.006733,0.006733,0.006733
35,14430.8,1.37325,1.26303,1.60888,0.89855,0.82044,0.89855,0.53169,1.38381,0.85752,1.63365,0.006634,0.006634,0.006634
36,14786.4,1.36038,1.23503,1.59075,0.87599,0.85782,0.90886,0.52767,1.344,0.89252,1.63912,0.006535,0.006535,0.006535
37,15143.4,1.36108,1.23232,1.59075,0.81782,0.85095,0.89079,0.51602,1.32952,0.97008,1.59413,0.006436,0.006436,0.006436
38,15499,1.35715,1.22318,1.60046,0.84748,0.84437,0.87491,0.50362,1.3709,0.89645,1.62991,0.006337,0.006337,0.006337
39,15855.2,1.35718,1.2228,1.59356,0.86902,0.84932,0.90007,0.53633,1.34397,0.85933,1.61121,0.006238,0.006238,0.006238
40,16210.5,1.3518,1.22822,1.58997,0.88497,0.88237,0.92012,0.54533,1.3288,0.83754,1.58645,0.006139,0.006139,0.006139
41,16567.6,1.33201,1.18334,1.56953,0.85299,0.86475,0.8966,0.52648,1.40304,0.8126,1.68817,0.00604,0.00604,0.00604
42,16926.4,1.3444,1.18085,1.57432,0.86802,0.88072,0.91333,0.55599,1.30525,0.79827,1.57542,0.005941,0.005941,0.005941
43,17281.5,1.3289,1.20006,1.57445,0.8661,0.85851,0.90686,0.52067,1.37746,0.82114,1.60798,0.005842,0.005842,0.005842
44,17637.7,1.32498,1.17006,1.56244,0.87941,0.87164,0.90382,0.53496,1.34415,0.83292,1.5995,0.005743,0.005743,0.005743
45,17993.5,1.33252,1.17748,1.56403,0.82629,0.83866,0.88354,0.51055,1.34857,0.86271,1.66729,0.005644,0.005644,0.005644
46,18348.5,1.32602,1.16615,1.57341,0.82222,0.86502,0.89926,0.52228,1.3297,0.87644,1.60595,0.005545,0.005545,0.005545
47,18703.4,1.33077,1.18096,1.56937,0.86822,0.87972,0.92008,0.54779,1.31897,0.80612,1.58642,0.005446,0.005446,0.005446
48,19059.1,1.31705,1.15756,1.57051,0.88604,0.90018,0.92445,0.55553,1.3254,0.76998,1.603,0.005347,0.005347,0.005347
49,19414,1.33088,1.13587,1.55155,0.89222,0.83698,0.91169,0.54402,1.34152,0.77143,1.59031,0.005248,0.005248,0.005248
50,19771.7,1.3158,1.12483,1.55721,0.86866,0.85402,0.89545,0.54884,1.30081,0.77917,1.57342,0.005149,0.005149,0.005149
51,20126.5,1.28797,1.12023,1.53664,0.87633,0.89036,0.92523,0.56254,1.29622,0.75804,1.59636,0.00505,0.00505,0.00505
52,20490.4,1.31117,1.13231,1.54808,0.88428,0.87168,0.91966,0.55669,1.31191,0.76969,1.58768,0.004951,0.004951,0.004951
53,20848.2,1.27986,1.10774,1.53661,0.88273,0.86771,0.92141,0.54866,1.33039,0.79402,1.61293,0.004852,0.004852,0.004852
54,21204.1,1.27923,1.10698,1.54587,0.88297,0.89964,0.93626,0.55265,1.31591,0.79631,1.59581,0.004753,0.004753,0.004753
55,21561.6,1.27988,1.09818,1.5359,0.85432,0.90259,0.9098,0.54859,1.32862,0.75161,1.58584,0.004654,0.004654,0.004654
56,21917.7,1.29971,1.10034,1.53883,0.89054,0.88217,0.9267,0.55112,1.32884,0.71465,1.5839,0.004555,0.004555,0.004555
57,22272.6,1.28755,1.07571,1.53281,0.87,0.89338,0.92472,0.56126,1.29915,0.74264,1.57375,0.004456,0.004456,0.004456
58,22629.1,1.2686,1.06985,1.52045,0.88511,0.87643,0.91391,0.55272,1.3102,0.75003,1.57219,0.004357,0.004357,0.004357
59,22986.4,1.2881,1.10171,1.53603,0.88102,0.88138,0.92301,0.5605,1.29034,0.75206,1.55255,0.004258,0.004258,0.004258
60,23344,1.2715,1.07513,1.53083,0.88812,0.87905,0.92547,0.54964,1.32207,0.7605,1.56925,0.004159,0.004159,0.004159
61,23700.4,1.26072,1.07045,1.51758,0.87391,0.89906,0.92188,0.55967,1.26757,0.73324,1.55477,0.00406,0.00406,0.00406
62,24057.7,1.26665,1.05215,1.52542,0.86521,0.8434,0.89343,0.54694,1.30416,0.74063,1.57459,0.003961,0.003961,0.003961
63,24414,1.26196,1.0545,1.51754,0.86307,0.88562,0.90959,0.55259,1.28412,0.74386,1.5598,0.003862,0.003862,0.003862
64,24771.9,1.26256,1.03231,1.51786,0.87656,0.8628,0.90843,0.55404,1.2811,0.72807,1.52749,0.003763,0.003763,0.003763
65,25127.8,1.24973,1.02785,1.5046,0.86352,0.89056,0.90525,0.54853,1.28754,0.72534,1.56167,0.003664,0.003664,0.003664
66,25482.2,1.25495,1.03559,1.50362,0.86425,0.9056,0.92169,0.55316,1.30213,0.73845,1.56672,0.003565,0.003565,0.003565
67,25836.9,1.25809,1.03309,1.50933,0.87592,0.88922,0.92103,0.5682,1.29023,0.7129,1.55581,0.003466,0.003466,0.003466
68,26193.1,1.25528,1.03905,1.51399,0.88803,0.8997,0.92412,0.56439,1.30203,0.72424,1.55886,0.003367,0.003367,0.003367
69,26549.3,1.24833,1.04074,1.50374,0.89103,0.87174,0.92476,0.5688,1.28604,0.70945,1.55871,0.003268,0.003268,0.003268
70,26905.6,1.24459,1.00683,1.49862,0.86991,0.90194,0.91215,0.56274,1.27399,0.69414,1.55003,0.003169,0.003169,0.003169
71,27260.7,1.24614,1.01906,1.49682,0.88234,0.90767,0.92429,0.56247,1.2779,0.68437,1.55421,0.00307,0.00307,0.00307
72,27616.7,1.22879,1.0069,1.48165,0.89459,0.87554,0.91863,0.55968,1.31663,0.68604,1.60342,0.002971,0.002971,0.002971
73,27971.5,1.22149,1.01206,1.48439,0.89106,0.86934,0.91668,0.56206,1.29106,0.70577,1.57332,0.002872,0.002872,0.002872
74,28326.8,1.21031,0.99913,1.48106,0.87692,0.87968,0.90347,0.54988,1.29727,0.70476,1.55841,0.002773,0.002773,0.002773
75,28682.4,1.21415,0.97883,1.48416,0.88059,0.87985,0.91544,0.56637,1.28286,0.69758,1.5764,0.002674,0.002674,0.002674
76,29037.3,1.21532,0.9824,1.47094,0.91258,0.87995,0.93461,0.58168,1.28171,0.66103,1.56211,0.002575,0.002575,0.002575
77,29393.3,1.20904,0.98624,1.4748,0.86796,0.89604,0.91784,0.56847,1.26547,0.70528,1.54501,0.002476,0.002476,0.002476
78,29748.9,1.20966,0.9664,1.46763,0.87478,0.90011,0.91295,0.56258,1.26399,0.69708,1.55841,0.002377,0.002377,0.002377
79,30104.3,1.21113,0.97802,1.48617,0.88815,0.91028,0.93254,0.56832,1.2731,0.67729,1.54913,0.002278,0.002278,0.002278
80,30460.7,1.18949,0.96764,1.46451,0.89066,0.88905,0.91768,0.56404,1.29015,0.68256,1.55228,0.002179,0.002179,0.002179
81,30813.9,1.20978,0.96467,1.47019,0.85925,0.9154,0.92308,0.56263,1.29377,0.67751,1.55019,0.00208,0.00208,0.00208
82,31165.4,1.18953,0.95378,1.46404,0.86276,0.9022,0.91694,0.56315,1.28581,0.69365,1.57912,0.001981,0.001981,0.001981
83,31514.9,1.18797,0.94096,1.46596,0.88089,0.89881,0.92036,0.56572,1.29028,0.66732,1.55755,0.001882,0.001882,0.001882
84,31864.6,1.18069,0.94155,1.45807,0.86172,0.90998,0.92827,0.56297,1.29355,0.67544,1.57076,0.001783,0.001783,0.001783
85,32214.5,1.18688,0.95162,1.46092,0.91593,0.86757,0.93157,0.57358,1.27795,0.67567,1.56754,0.001684,0.001684,0.001684
86,32563.6,1.18686,0.94404,1.46839,0.88045,0.91108,0.93027,0.57576,1.26407,0.67431,1.55161,0.001585,0.001585,0.001585
87,32915.3,1.17659,0.93959,1.45361,0.8884,0.90952,0.93897,0.57282,1.27683,0.65549,1.55379,0.001486,0.001486,0.001486
88,33270.3,1.17587,0.93137,1.45542,0.88745,0.86816,0.91489,0.56082,1.27476,0.6785,1.56268,0.001387,0.001387,0.001387
89,33625.8,1.16904,0.93642,1.45752,0.86853,0.90301,0.92217,0.5621,1.28475,0.66236,1.56769,0.001288,0.001288,0.001288
90,33982.2,1.16878,0.91656,1.4483,0.91355,0.87833,0.93191,0.57718,1.26853,0.65053,1.54868,0.001189,0.001189,0.001189
91,34342.5,1.15591,0.90769,1.43333,0.89338,0.89506,0.9271,0.5774,1.26418,0.64951,1.55477,0.00109,0.00109,0.00109
92,34699.4,1.15234,0.89703,1.43845,0.87234,0.90844,0.93188,0.57611,1.27346,0.64747,1.54825,0.000991,0.000991,0.000991
93,35057.3,1.15581,0.9067,1.44523,0.88516,0.90136,0.92355,0.57986,1.27069,0.63898,1.54818,0.000892,0.000892,0.000892
