epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,406.828,2.62582,3.16142,2.85233,0.30588,0.46373,0.31285,0.11578,2.11654,9.66983,2.31158,0.0701685,0.00331461,0.00331461
2,797.306,2.02073,2.31831,2.31872,0.22566,0.54054,0.24026,0.09076,1.9931,6.79494,2.30584,0.0401027,0.00658213,0.00658213
3,1185.34,1.83173,2.15285,2.12115,0.43958,0.65948,0.46804,0.21194,1.71464,2.26885,1.93203,0.00997091,0.00978364,0.00978364
4,1572.98,1.73266,1.99295,1.98373,0.43907,0.58798,0.4468,0.18899,1.58618,2.35246,1.78063,0.009703,0.009703,0.009703
5,1960.52,1.64703,1.94453,1.91754,0.37189,0.55686,0.4904,0.20821,1.84758,2.39629,2.0045,0.009604,0.009604,0.009604
6,2349.52,1.62641,1.86915,1.88407,0.54491,0.71065,0.70106,0.3854,1.43129,1.60105,1.77485,0.009505,0.009505,0.009505
7,2735.81,1.55569,1.80933,1.81567,0.41739,0.81219,0.54746,0.26185,1.5285,1.60062,1.74129,0.009406,0.009406,0.009406
8,3123.29,1.5272,1.75923,1.78817,0.513,0.6034,0.61755,0.27639,1.65012,1.79683,1.78746,0.009307,0.009307,0.009307
9,3512.11,1.52382,1.74165,1.77283,0.45232,0.53187,0.451,0.26572,1.54295,1.8616,1.74013,0.009208,0.009208,0.009208
10,3903.02,1.48324,1.7269,1.74253,0.57551,0.69412,0.66019,0.38513,1.42582,1.42117,1.67071,0.009109,0.009109,0.009109
11,4291.91,1.48936,1.68821,1.73532,0.44217,0.69579,0.49759,0.20831,1.91522,1.64732,1.93451,0.00901,0.00901,0.00901
12,4680.16,1.43514,1.68043,1.714,0.63612,0.79041,0.69663,0.39246,1.35989,1.35189,1.61209,0.008911,0.008911,0.008911
13,5068.64,1.42076,1.62121,1.69048,0.67391,0.65712,0.70778,0.38167,1.48189,1.437,1.67305,0.008812,0.008812,0.008812
14,5457.11,1.4264,1.5924,1.68762,0.66806,0.76454,0.72676,0.399,1.4329,1.44411,1.6146,0.008713,0.008713,0.008713
15,5843.8,1.39914,1.57916,1.66675,0.54331,0.8463,0.61266,0.35629,1.44906,1.35171,1.69654,0.008614,0.008614,0.008614
16,6232.07,1.39128,1.57175,1.66426,0.61236,0.73293,0.73205,0.41036,1.37608,1.41078,1.58614,0.008515,0.008515,0.008515
17,6620.71,1.39148,1.54277,1.66024,0.59835,0.73625,0.71504,0.39684,1.42069,1.36441,1.76017,0.008416,0.008416,0.008416
18,7010.96,1.402,1.55119,1.66277,0.68887,0.78141,0.76836,0.43641,1.30791,1.14504,1.5255,0.008317,0.008317,0.008317
19,7398.66,1.36368,1.51836,1.63177,0.4593,0.66519,0.57148,0.3491,1.37778,2.12438,1.67423,0.008218,0.008218,0.008218
20,7786.5,1.35212,1.51898,1.63907,0.6045,0.70818,0.68092,0.39799,1.40822,1.40969,1.66651,0.008119,0.008119,0.008119
21,8175.63,1.35882,1.50341,1.63,0.59055,0.80877,0.78767,0.47616,1.30615,1.21123,1.5844,0.00802,0.00802,0.00802
22,8563.71,1.34389,1.51135,1.62939,0.69946,0.76117,0.77288,0.44464,1.35259,1.16387,1.59571,0.007921,0.007921,0.007921
23,8954.06,1.34747,1.46705,1.61312,0.61284,0.77166,0.71393,0.42969,1.30873,1.2924,1.51816,0.007822,0.007822,0.007822
24,9342.11,1.32267,1.46532,1.60419,0.67901,0.74795,0.7605,0.45004,1.29319,1.17581,1.53414,0.007723,0.007723,0.007723
25,9731.68,1.33684,1.41451,1.61274,0.78585,0.79769,0.85998,0.52131,1.27593,1.04511,1.53276,0.007624,0.007624,0.007624
26,10119.9,1.32529,1.43384,1.58811,0.75932,0.80277,0.82429,0.48757,1.34448,1.02129,1.55821,0.007525,0.007525,0.007525
27,10506.4,1.30164,1.39681,1.58736,0.8205,0.75897,0.82134,0.47071,1.34103,1.08597,1.61385,0.007426,0.007426,0.007426
28,10894.7,1.30795,1.40521,1.58041,0.7378,0.78298,0.82179,0.48115,1.34144,1.10101,1.62649,0.007327,0.007327,0.007327
