epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,391.639,2.5614,2.92934,2.79682,0.21247,0.22061,0.15753,0.05259,2.29403,5.03792,2.49814,0.0700843,0.00332397,0.00332397
2,777.698,2.00293,2.21327,2.27175,0.24139,0.53962,0.33224,0.13677,1.80574,2.40908,1.99864,0.0400184,0.0065914,0.0065914
3,1148.41,1.83925,2.038,2.06903,0.7367,0.40016,0.54956,0.2543,1.70623,1.93397,1.88428,0.00988646,0.00979282,0.00979282
4,1520.5,1.71719,1.93598,1.95907,0.32762,0.73067,0.55054,0.28616,1.61799,2.06389,1.85625,0.009703,0.009703,0.009703
5,1892.56,1.63645,1.84935,1.87976,0.43557,0.75496,0.63222,0.34915,1.53492,2.02689,1.92152,0.009604,0.009604,0.009604
6,2265.43,1.58841,1.77189,1.83674,0.42562,0.82035,0.64598,0.33901,1.58073,1.48296,1.73893,0.009505,0.009505,0.009505
7,2638.78,1.53978,1.73068,1.8,0.49212,0.74593,0.59109,0.31751,1.53012,1.52194,1.73768,0.009406,0.009406,0.009406
8,3011.8,1.48658,1.67092,1.74081,0.56023,0.69581,0.62025,0.33553,1.49361,1.55665,1.71498,0.009307,0.009307,0.009307
9,3386.05,1.48178,1.65731,1.72787,0.55021,0.75211,0.59557,0.34692,1.43505,1.46335,1.64944,0.009208,0.009208,0.009208
10,3759.53,1.46688,1.64077,1.69852,0.70761,0.70256,0.74892,0.42937,1.44679,1.18419,1.74615,0.009109,0.009109,0.009109
11,4134.63,1.44274,1.59213,1.67263,0.3908,0.75659,0.58113,0.33672,1.36091,1.58528,1.6193,0.00901,0.00901,0.00901
12,4513.29,1.44814,1.59725,1.69249,0.59904,0.74367,0.65528,0.39349,1.39177,1.38338,1.68538,0.008911,0.008911,0.008911
13,4891.56,1.43368,1.55081,1.66264,0.64045,0.68788,0.73797,0.41944,1.39705,1.42736,1.67347,0.008812,0.008812,0.008812
