epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,577.33,2.51196,3.10799,2.68414,0.15395,0.26334,0.1275,0.04762,2.17736,33.3754,2.16913,0.0700641,0.00332621,0.00332621
2,1152.7,1.96781,2.37585,2.17756,0.35792,0.56895,0.45289,0.20305,1.52713,11.6935,1.6478,0.0399982,0.00659361,0.00659361
3,1679.79,1.76794,2.16238,1.96488,0.41903,0.53632,0.4381,0.2092,1.48368,8.87555,1.70529,0.00986624,0.00979502,0.00979502
4,2205.82,1.69182,2.0114,1.87673,0.47501,0.72327,0.5773,0.2705,1.41348,9.51947,1.61925,0.009703,0.009703,0.009703
5,2729.4,1.63616,1.93967,1.81809,0.47739,0.7359,0.63443,0.32499,1.39413,8.15014,1.56111,0.009604,0.009604,0.009604
6,3255.27,1.56274,1.82704,1.74092,0.56692,0.75562,0.69369,0.36601,1.25006,13.7054,1.50894,0.009505,0.009505,0.009505
7,3780.28,1.54195,1.8072,1.7174,0.50486,0.76769,0.6319,0.34902,1.32422,8.24504,1.51884,0.009406,0.009406,0.009406
8,4301.92,1.48307,1.72492,1.66388,0.3662,0.70659,0.57817,0.32382,1.22289,13.1684,1.46531,0.009307,0.009307,0.009307
9,4822.52,1.48106,1.70501,1.66151,0.46061,0.72703,0.62991,0.35359,1.28271,6.02927,1.46794,0.009208,0.009208,0.009208
10,5344.36,1.45239,1.66777,1.62684,0.60987,0.62064,0.63954,0.35129,1.27998,12.6196,1.41575,0.009109,0.009109,0.009109
11,5865.58,1.45199,1.63588,1.62683,0.58728,0.71477,0.70023,0.39495,1.23875,10.8699,1.47834,0.00901,0.00901,0.00901
12,6386.83,1.43868,1.63018,1.62392,0.47061,0.74953,0.70969,0.42745,1.15026,10.9512,1.3949,0.008911,0.008911,0.008911
13,6907.85,1.41736,1.58261,1.59089,0.67221,0.57333,0.69245,0.4253,1.18401,14.9472,1.49544,0.008812,0.008812,0.008812
14,7425.86,1.39554,1.5565,1.57444,0.59132,0.67724,0.70839,0.43088,1.14089,11.668,1.32605,0.008713,0.008713,0.008713
15,7944.31,1.3684,1.51655,1.56196,0.71169,0.7489,0.80717,0.47788,1.17231,13.1051,1.38763,0.008614,0.008614,0.008614
16,8462.84,1.37153,1.50725,1.55682,0.72417,0.70123,0.77127,0.47169,1.18796,5.33869,1.46386,0.008515,0.008515,0.008515
17,8984.37,1.3599,1.51417,1.55533,0.77003,0.72952,0.81398,0.48467,1.11788,12.4395,1.36449,0.008416,0.008416,0.008416
18,9502.61,1.34655,1.44619,1.54604,0.79905,0.7514,0.80178,0.48136,1.18457,8.95922,1.41159,0.008317,0.008317,0.008317
19,10022.6,1.33732,1.43887,1.52519,0.76436,0.7072,0.82086,0.53433,1.08588,14.501,1.32901,0.008218,0.008218,0.008218
20,10542.6,1.30612,1.41406,1.51389,0.82655,0.73187,0.85105,0.51445,1.0912,12.8725,1.39293,0.008119,0.008119,0.008119
21,11063.7,1.33401,1.39317,1.52188,0.7691,0.76194,0.84086,0.53455,1.11058,14.0966,1.33617,0.00802,0.00802,0.00802
22,11584.1,1.3219,1.38863,1.52042,0.79975,0.75271,0.85211,0.51757,1.14534,19.8808,1.45672,0.007921,0.007921,0.007921
23,12094.9,1.30039,1.39824,1.50559,0.74193,0.78224,0.8252,0.49617,1.18023,12.6639,1.45024,0.007822,0.007822,0.007822
24,12605.4,1.29417,1.36428,1.50816,0.83862,0.8232,0.87987,0.53805,1.12416,11.3038,1.39797,0.007723,0.007723,0.007723
25,13114.8,1.28888,1.34495,1.49869,0.82531,0.7298,0.85672,0.51892,1.12176,15.6333,1.40096,0.007624,0.007624,0.007624
26,13628.6,1.28661,1.30622,1.49403,0.77484,0.80732,0.85331,0.54068,1.10994,12.9621,1.38076,0.007525,0.007525,0.007525
27,14136.5,1.27474,1.30713,1.4874,0.84589,0.82695,0.8896,0.54041,1.10701,14.8282,1.34161,0.007426,0.007426,0.007426
28,14647.3,1.27254,1.29601,1.4866,0.75602,0.78717,0.83949,0.53642,1.08933,12.5699,1.322,0.007327,0.007327,0.007327
29,15156.8,1.26682,1.29947,1.49333,0.85441,0.87574,0.91025,0.53929,1.13478,12.6141,1.35428,0.007228,0.007228,0.007228
30,15668,1.2491,1.296,1.47283,0.81818,0.81526,0.88701,0.55091,1.05868,11.6731,1.30593,0.007129,0.007129,0.007129
31,16177.1,1.24508,1.24942,1.47101,0.88355,0.84592,0.90148,0.54846,1.1466,11.6966,1.36709,0.00703,0.00703,0.00703
32,16688.2,1.25588,1.23534,1.46562,0.82583,0.82035,0.89059,0.52481,1.16515,20.3099,1.41388,0.006931,0.006931,0.006931
33,17197.1,1.23744,1.2343,1.45346,0.80787,0.81862,0.8852,0.54606,1.10281,13.2501,1.37051,0.006832,0.006832,0.006832
34,17711.3,1.24365,1.23038,1.46456,0.88073,0.85027,0.9138,0.55997,1.07986,13.5946,1.33013,0.006733,0.006733,0.006733
35,18220.2,1.24768,1.22665,1.4612,0.86751,0.88458,0.91092,0.57039,1.10333,15.5656,1.33589,0.006634,0.006634,0.006634
36,18730.6,1.21694,1.20422,1.44695,0.84433,0.84839,0.90982,0.56837,1.09424,18.5888,1.33665,0.006535,0.006535,0.006535
37,19239.6,1.23211,1.18994,1.45779,0.86712,0.87077,0.91621,0.57144,1.09256,17.5413,1.35539,0.006436,0.006436,0.006436
38,19750.8,1.22281,1.18209,1.45159,0.88214,0.88324,0.91855,0.57334,1.06793,12.9644,1.30622,0.006337,0.006337,0.006337
39,20259.5,1.2175,1.17479,1.44137,0.88924,0.87654,0.91805,0.55597,1.11335,16.5911,1.36195,0.006238,0.006238,0.006238
40,20771.6,1.21137,1.16996,1.43728,0.87757,0.89207,0.91413,0.58071,1.04342,14.7753,1.34577,0.006139,0.006139,0.006139
41,21282.7,1.22573,1.1743,1.44295,0.86861,0.87519,0.92397,0.59139,1.02998,17.0044,1.27136,0.00604,0.00604,0.00604
42,21795.3,1.20554,1.15378,1.43157,0.84573,0.88475,0.91517,0.57681,1.0467,19.0051,1.30564,0.005941,0.005941,0.005941
43,22305,1.19035,1.13751,1.42827,0.91472,0.87785,0.92679,0.56742,1.08623,15.8855,1.32475,0.005842,0.005842,0.005842
44,22816.2,1.1851,1.12,1.41767,0.86638,0.8696,0.9109,0.5768,1.05748,12.0213,1.29841,0.005743,0.005743,0.005743
45,23325.3,1.19972,1.14499,1.42979,0.88003,0.87699,0.92742,0.5732,1.03894,14.045,1.29175,0.005644,0.005644,0.005644
46,23833.5,1.19002,1.11109,1.42239,0.88883,0.87842,0.92834,0.5915,1.05054,17.6213,1.30993,0.005545,0.005545,0.005545
47,24338.3,1.1786,1.10955,1.40905,0.88131,0.90195,0.91978,0.58235,1.08106,14.9221,1.31553,0.005446,0.005446,0.005446
48,24843.5,1.18526,1.10348,1.41124,0.90622,0.90898,0.92157,0.56727,1.10443,15.3903,1.36335,0.005347,0.005347,0.005347
49,25350,1.16043,1.09478,1.40383,0.88596,0.87662,0.90978,0.57084,1.07442,15.6467,1.37313,0.005248,0.005248,0.005248
50,25854.4,1.17212,1.12,1.41004,0.90595,0.88253,0.91137,0.59506,1.01924,15.9411,1.30695,0.005149,0.005149,0.005149
51,26361.7,1.15432,1.08202,1.39949,0.8878,0.89301,0.92125,0.59007,1.02911,15.6206,1.29161,0.00505,0.00505,0.00505
52,26866.5,1.16581,1.0903,1.40206,0.88537,0.90495,0.91628,0.57842,1.06021,17.0712,1.34116,0.004951,0.004951,0.004951
53,27373.7,1.15437,1.07488,1.39585,0.92288,0.90082,0.91614,0.56836,1.08297,18.9588,1.31818,0.004852,0.004852,0.004852
54,27878,1.15319,1.05385,1.40131,0.89996,0.92207,0.91255,0.57059,1.05154,16.655,1.30941,0.004753,0.004753,0.004753
55,28385.6,1.15976,1.06591,1.40104,0.90204,0.88507,0.93435,0.58973,1.03382,19.7973,1.29782,0.004654,0.004654,0.004654
56,28892.1,1.13077,1.06366,1.3823,0.90808,0.89009,0.92051,0.58631,1.05423,15.4533,1.3179,0.004555,0.004555,0.004555
57,29396.4,1.14503,1.04957,1.38797,0.91335,0.89598,0.92118,0.59385,1.05476,19.8529,1.31585,0.004456,0.004456,0.004456
58,37049.1,1.14581,1.03548,1.38308,0.86917,0.8976,0.9173,0.59232,1.05376,16.4847,1.32966,0.004357,0.004357,0.004357
59,37546.1,1.14643,1.04129,1.38759,0.91266,0.90318,0.91921,0.59298,1.06207,17.192,1.29936,0.004258,0.004258,0.004258
60,38043.5,1.12614,1.02509,1.37492,0.91433,0.91314,0.93667,0.61112,1.04725,20.6585,1.29993,0.004159,0.004159,0.004159
61,38541.8,1.13515,1.01941,1.38804,0.92673,0.89928,0.93823,0.6024,1.04336,17.9465,1.30965,0.00406,0.00406,0.00406
62,39039.6,1.11086,1.02033,1.37344,0.91294,0.87484,0.92451,0.59214,1.02245,16.668,1.29153,0.003961,0.003961,0.003961
63,39536.3,1.11994,1.01401,1.37113,0.91041,0.90102,0.92336,0.59624,1.04777,16.9324,1.28387,0.003862,0.003862,0.003862
64,40033.3,1.11963,1.00119,1.36828,0.9094,0.8873,0.93016,0.59952,1.04187,19.4339,1.32102,0.003763,0.003763,0.003763
65,40532.1,1.11084,1.00769,1.37232,0.90205,0.89991,0.9096,0.58697,1.00717,21.5442,1.27697,0.003664,0.003664,0.003664
66,41027.4,1.11534,0.98834,1.36561,0.89577,0.9013,0.93127,0.59674,1.03421,16.7925,1.30138,0.003565,0.003565,0.003565
67,41523.6,1.10481,1.01856,1.37147,0.8729,0.90506,0.91171,0.59556,1.03574,20.3398,1.32465,0.003466,0.003466,0.003466
68,42019.5,1.11437,0.99702,1.36863,0.889,0.90061,0.92658,0.59037,1.02742,20.3128,1.28096,0.003367,0.003367,0.003367
69,42515.3,1.10197,0.99731,1.36061,0.91063,0.8894,0.93159,0.59784,1.02009,21.5543,1.28516,0.003268,0.003268,0.003268
70,43011.9,1.11535,1.00135,1.37587,0.87628,0.88437,0.90545,0.58161,1.03473,21.779,1.29188,0.003169,0.003169,0.003169
71,43507.9,1.08179,0.97956,1.34755,0.89912,0.90326,0.93643,0.60766,1.00418,22.6371,1.25984,0.00307,0.00307,0.00307
72,44004.8,1.08323,0.9564,1.35002,0.88945,0.90181,0.91327,0.58443,0.98811,23.3127,1.28552,0.002971,0.002971,0.002971
73,44500.4,1.08347,0.94354,1.35763,0.91185,0.91196,0.93737,0.60578,1.00728,20.3951,1.29422,0.002872,0.002872,0.002872
74,44996.8,1.08555,0.95923,1.35593,0.88188,0.92264,0.93402,0.61125,1.00434,19.8816,1.24307,0.002773,0.002773,0.002773
75,45493.3,1.06563,0.95284,1.33256,0.89757,0.90588,0.92903,0.59565,1.01156,21.3144,1.26353,0.002674,0.002674,0.002674
76,45989.3,1.09335,0.95681,1.35599,0.91807,0.9087,0.94086,0.60478,1.02244,19.5934,1.2739,0.002575,0.002575,0.002575
77,46485.2,1.07607,0.94662,1.34507,0.90599,0.92204,0.9326,0.60042,0.99862,17.1611,1.25804,0.002476,0.002476,0.002476
78,46981.2,1.07448,0.92309,1.34264,0.89266,0.89566,0.9331,0.60505,0.99579,20.6239,1.24762,0.002377,0.002377,0.002377
79,47478,1.06984,0.93982,1.34093,0.9002,0.92345,0.94724,0.61162,0.9787,23.7504,1.24977,0.002278,0.002278,0.002278
80,47974.3,1.05944,0.9369,1.34015,0.90446,0.91707,0.94345,0.61287,1.00993,20.6295,1.26726,0.002179,0.002179,0.002179
81,48470.5,1.06286,0.92454,1.32915,0.90029,0.90799,0.92295,0.59834,1.01623,20.5154,1.25177,0.00208,0.00208,0.00208
82,48966.6,1.03947,0.90889,1.3207,0.89299,0.90794,0.93985,0.61307,1.01743,22.3444,1.26626,0.001981,0.001981,0.001981
83,49463.2,1.04229,0.91117,1.323,0.91527,0.9082,0.94489,0.60321,1.00724,20.4841,1.27094,0.001882,0.001882,0.001882
84,49959,1.05968,0.9195,1.33713,0.90671,0.90613,0.93629,0.60437,0.99716,21.8257,1.25932,0.001783,0.001783,0.001783
85,50455.1,1.03396,0.90439,1.32294,0.90486,0.91298,0.94389,0.60695,1.0071,21.5106,1.25183,0.001684,0.001684,0.001684
86,50950.9,1.06259,0.91096,1.33206,0.90048,0.89941,0.93975,0.61168,0.98327,18.4055,1.25462,0.001585,0.001585,0.001585
87,51449.7,1.0392,0.91249,1.3247,0.91313,0.89166,0.93535,0.61352,1.0041,21.6879,1.25751,0.001486,0.001486,0.001486
88,51945.8,1.02821,0.89857,1.31432,0.90129,0.90724,0.93702,0.6097,0.99396,24.0191,1.26208,0.001387,0.001387,0.001387
89,52442.7,1.03585,0.89074,1.31577,0.90577,0.90593,0.94213,0.6133,0.98979,23.1729,1.26396,0.001288,0.001288,0.001288
90,52939.2,1.01871,0.88926,1.30804,0.90287,0.92327,0.94136,0.61156,0.99426,21.9257,1.26381,0.001189,0.001189,0.001189
91,53687,1.02241,0.87545,1.30233,0.89566,0.91467,0.943,0.6171,0.99868,23.7803,1.26158,0.00109,0.00109,0.00109
